TestSite,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20
BRO;149;2007,BRO;129;2007,BRO;129;2010,BRO;129;2012,SXM;40;2005,SXM;40;2009,SXM;40;2011,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,,,,,,
BRO;149;2010,BRO;129;2007,BRO;129;2010,BRO;129;2012,SXM;40;2005,SXM;40;2009,SXM;40;2011,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,,,,,,
BRO;149;2012,BRO;129;2007,BRO;129;2010,BRO;129;2012,SXM;40;2005,SXM;40;2009,SXM;40;2011,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,,,,,,
BRO;149;2014,BRO;129;2007,BRO;129;2010,BRO;129;2012,SXM;40;2005,SXM;40;2009,SXM;40;2011,,,,,,,,,,,,,,
BRO;151;2007,BRO;129;2007,BRO;129;2010,BRO;129;2012,SXM;40;2005,SXM;40;2009,SXM;40;2011,,,,,,,,,,,,,,
BRO;151;2010,BRO;129;2007,BRO;129;2010,BRO;129;2012,SXM;40;2005,SXM;40;2009,SXM;40;2011,,,,,,,,,,,,,,
BRO;151;2012,BRO;129;2007,BRO;129;2010,BRO;129;2012,SXM;40;2005,SXM;40;2009,SXM;40;2011,,,,,,,,,,,,,,
BRO;151;2014,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,SXM;216;2009,SXM;216;2011,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;30;2005,SXM;30;2009,SXM;30;2011,,,,,,,
BRO;154;2007,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,SXM;216;2009,SXM;216;2011,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;30;2005,SXM;30;2009,SXM;30;2011,,,,,,,
BRO;154;2008,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,SXM;216;2009,SXM;216;2011,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;30;2005,SXM;30;2009,SXM;30;2011,,,,,,,
BRO;154;2010,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,SXM;216;2009,SXM;216;2011,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;30;2005,SXM;30;2009,SXM;30;2011,,,,,,,
BRO;154;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,SXM;216;2009,SXM;216;2011,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;30;2005,SXM;30;2009,SXM;30;2011,,,,,,,
BRO;154;2014,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,BRO;129;2007,BRO;129;2010,BRO;129;2012,JOS;34;2008,JOS;34;2010,,,,,,,,,,,
BRO;16;2014,BRO;243;2007,BRO;243;2010,BRO;243;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,SXM;30;2005,SXM;30;2009,SXM;30;2011,,,,,,,,,
BRO;171;2007,BRO;243;2007,BRO;243;2010,BRO;243;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,SXM;30;2005,SXM;30;2009,SXM;30;2011,,,,,,,,,
BRO;171;2010,BRO;243;2007,BRO;243;2010,BRO;243;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,SXM;30;2005,SXM;30;2009,SXM;30;2011,,,,,,,,,
BRO;171;2012,BRO;243;2007,BRO;243;2010,BRO;243;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,SXM;30;2005,SXM;30;2009,SXM;30;2011,,,,,,,,,
BRO;171;2014,BRO;172;2007,BRO;172;2010,BRO;172;2012,BRO;57;2007,BRO;57;2010,BRO;57;2012,BRO;245;2007,BRO;245;2010,BRO;245;2012,,,,,,,,,,,
BRO;172;2014,BRO;196;2007,BRO;196;2010,BRO;196;2012,BRO;10;2007,BRO;10;2010,BRO;10;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,,,,,,,,,
BRO;196;2014,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,,,,,,,,,,,,
BRO;197;2007,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,,,,,,,,,,,,
BRO;197;2010,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,,,,,,,,,,,,
BRO;209;2007,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,,,,,,,,,,,,
BRO;209;2010,BRO;21;2007,BRO;21;2010,SXM;151;2005,SXM;151;2009,SXM;151;2011,SXM;216;2009,SXM;216;2011,GRN;28;2006,GRN;28;2009,GRN;28;2011,,,,,,,,,,
BRO;209;2012,BRO;243;2007,BRO;243;2010,BRO;243;2012,BRO;172;2007,BRO;172;2010,BRO;172;2012,,,,,,,,,,,,,,
BRO;209;2014,BRO;243;2007,BRO;243;2010,BRO;243;2012,BRO;172;2007,BRO;172;2010,BRO;172;2012,,,,,,,,,,,,,,
BRO;21;2014,BRO;243;2007,BRO;243;2010,BRO;243;2012,BRO;172;2007,BRO;172;2010,BRO;172;2012,,,,,,,,,,,,,,
BRO;219;2007,BRO;243;2007,BRO;243;2010,BRO;243;2012,BRO;172;2007,BRO;172;2010,BRO;172;2012,,,,,,,,,,,,,,
BRO;219;2010,BRO;57;2007,BRO;57;2010,BRO;57;2012,BRO;10;2007,BRO;10;2010,BRO;10;2012,BRO;243;2007,BRO;243;2010,BRO;243;2012,,,,,,,,,,,
BRO;219;2012,BRO;57;2007,BRO;57;2010,BRO;57;2012,BRO;10;2007,BRO;10;2010,BRO;10;2012,BRO;243;2007,BRO;243;2010,BRO;243;2012,,,,,,,,,,,
BRO;219;2014,BRO;57;2007,BRO;57;2010,BRO;57;2012,BRO;10;2007,BRO;10;2010,BRO;10;2012,BRO;243;2007,BRO;243;2010,BRO;243;2012,,,,,,,,,,,
BRO;22;2007,BRO;42;2007,BRO;42;2010,BRO;42;2012,BRO;172;2007,BRO;172;2010,BRO;172;2012,BRO;10;2007,BRO;10;2010,BRO;10;2012,BRO;245;2007,BRO;245;2010,BRO;245;2012,,,,,,,,
BRO;22;2012,BRO;42;2007,BRO;42;2010,BRO;42;2012,BRO;172;2007,BRO;172;2010,BRO;172;2012,BRO;10;2007,BRO;10;2010,BRO;10;2012,BRO;245;2007,BRO;245;2010,BRO;245;2012,,,,,,,,
BRO;22;2014,BRO;42;2007,BRO;42;2010,BRO;42;2012,BRO;172;2007,BRO;172;2010,BRO;172;2012,BRO;10;2007,BRO;10;2010,BRO;10;2012,BRO;245;2007,BRO;245;2010,BRO;245;2012,,,,,,,,
BRO;225;2007,BRO;42;2007,BRO;42;2010,BRO;42;2012,BRO;172;2007,BRO;172;2010,BRO;172;2012,BRO;10;2007,BRO;10;2010,BRO;10;2012,BRO;245;2007,BRO;245;2010,BRO;245;2012,,,,,,,,
BRO;225;2010,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,BRO;57;2007,BRO;57;2010,BRO;57;2012,BRO;172;2007,BRO;172;2010,BRO;172;2012,BRO;42;2007,BRO;42;2010,BRO;42;2012,BRO;243;2007,BRO;243;2010,BRO;243;2012,,,
BRO;225;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,BRO;57;2007,BRO;57;2010,BRO;57;2012,BRO;172;2007,BRO;172;2010,BRO;172;2012,BRO;42;2007,BRO;42;2010,BRO;42;2012,BRO;243;2007,BRO;243;2010,BRO;243;2012,,,
BRO;225;2014,BRO;243;2007,BRO;243;2010,BRO;243;2012,BRO;57;2007,BRO;57;2010,BRO;57;2012,SXM;30;2005,SXM;30;2009,SXM;30;2011,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,,,,,,
BRO;238;2007,BRO;245;2007,BRO;245;2010,BRO;245;2012,BRO;172;2007,BRO;172;2010,BRO;172;2012,BRO;42;2007,BRO;42;2010,BRO;42;2012,BRO;10;2007,BRO;10;2010,BRO;10;2012,,,,,,,,
BRO;238;2014,SXM;30;2005,SXM;30;2009,SXM;30;2011,SXM;216;2009,SXM;216;2011,BRO;21;2007,BRO;21;2010,,,,,,,,,,,,,
BRO;243;2014,SXM;30;2005,SXM;30;2009,SXM;30;2011,SXM;216;2009,SXM;216;2011,BRO;21;2007,BRO;21;2010,,,,,,,,,,,,,
BRO;245;2014,SXM;30;2005,SXM;30;2009,SXM;30;2011,SXM;216;2009,SXM;216;2011,BRO;21;2007,BRO;21;2010,,,,,,,,,,,,,
BRO;284;2007,SXM;30;2005,SXM;30;2009,SXM;30;2011,SXM;216;2009,SXM;216;2011,BRO;21;2007,BRO;21;2010,,,,,,,,,,,,,
BRO;284;2010,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,SXM;30;2005,SXM;30;2009,SXM;30;2011,BRO;196;2007,BRO;196;2010,BRO;196;2012,,,,,,,,,
BRO;284;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,SXM;30;2005,SXM;30;2009,SXM;30;2011,BRO;196;2007,BRO;196;2010,BRO;196;2012,,,,,,,,,
BRO;284;2014,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,SXM;30;2005,SXM;30;2009,SXM;30;2011,BRO;196;2007,BRO;196;2010,BRO;196;2012,,,,,,,,,
BRO;334;2010,BRO;42;2007,BRO;42;2010,BRO;42;2012,BRO;172;2007,BRO;172;2010,BRO;172;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,BRO;245;2007,BRO;245;2010,BRO;245;2012,BRO;10;2007,BRO;10;2010,BRO;10;2012,,,
BRO;334;2012,BRO;57;2007,BRO;57;2010,BRO;57;2012,BRO;42;2007,BRO;42;2010,BRO;42;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,BRO;172;2007,BRO;172;2010,BRO;172;2012,,,,,,
BRO;334;2014,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;30;2005,SXM;30;2009,SXM;30;2011,,,,,,,,,
BRO;42;2014,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;30;2005,SXM;30;2009,SXM;30;2011,,,,,,,,,
BRO;57;2014,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;30;2005,SXM;30;2009,SXM;30;2011,,,,,,,,,
BRO;8;2007,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;30;2005,SXM;30;2009,SXM;30;2011,,,,,,,,,
BRO;8;2008,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
BRO;8;2010,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
BRO;8;2014,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
FAL;6;2008,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
FAL;6;2010,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
FAL;6;2012,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
FAL;6;2014,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
FOR;12;2008,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
FOR;12;2010,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
FOR;12;2012,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
FOR;12;2014,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
FOR;2;2014,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
FOR;71;2008,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
FOR;71;2010,BRO;21;2007,BRO;21;2010,SXM;151;2005,SXM;151;2009,SXM;151;2011,GRN;28;2006,GRN;28;2009,GRN;28;2011,SXM;216;2009,SXM;216;2011,,,,,,,,,,
FOR;71;2012,BRO;21;2007,BRO;21;2010,SXM;151;2005,SXM;151;2009,SXM;151;2011,GRN;28;2006,GRN;28;2009,GRN;28;2011,SXM;216;2009,SXM;216;2011,,,,,,,,,,
FOR;71;2014,BRO;21;2007,BRO;21;2010,SXM;151;2005,SXM;151;2009,SXM;151;2011,GRN;28;2006,GRN;28;2009,GRN;28;2011,SXM;216;2009,SXM;216;2011,,,,,,,,,,
FOR;7;2008,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
FOR;7;2010,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
FOR;7;2014,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
GRN;101;2007,BRO;21;2007,BRO;21;2010,SXM;151;2005,SXM;151;2009,SXM;151;2011,GRN;28;2006,GRN;28;2009,GRN;28;2011,SXM;216;2009,SXM;216;2011,,,,,,,,,,
GRN;101;2008,BRO;21;2007,BRO;21;2010,SXM;151;2005,SXM;151;2009,SXM;151;2011,GRN;28;2006,GRN;28;2009,GRN;28;2011,SXM;216;2009,SXM;216;2011,,,,,,,,,,
GRN;101;2009,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,SXM;216;2009,SXM;216;2011,,,,,,,,,,
GRN;101;2011,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,SXM;216;2009,SXM;216;2011,,,,,,,,,,
